Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type	Gene name	Strand
ENSMUSG00000098772	14	97049481	97049585	miRNA	Gm27441	-1
ENSMUSG00000098518	4	47603889	47604008	misc_RNA	Gm27668	1
ENSMUSG00000080437	8	67213296	67213419	snRNA	Gm24274	-1
ENSMUSG00000088957	3	63488993	63489098	snRNA	Gm24946	1
ENSMUSG00000095857	5	50290380	50290486	snRNA	Gm22618	-1
ENSMUSG00000084611	4	32514787	32515053	misc_RNA	Gm24371	1
ENSMUSG00000093336	2	32652329	32652414	miRNA	Mir1954	1
ENSMUSG00000078129	2	154551776	154553276	protein_coding	Actl10	1
ENSMUSG00000077439	10	66483553	66483682	snoRNA	Gm22594	1
ENSMUSG00000096017	7	59756514	59756607	snoRNA	Gm26502	-1
ENSMUSG00000084560	2	11087781	11087913	snRNA	Gm26478	-1
ENSMUSG00000065192	1	52444436	52444544	snRNA	Gm23460	-1
ENSMUSG00000098929	4	15942900	15942991	miRNA	Mir6400	-1
ENSMUSG00000088407	10	92486818	92486879	snRNA	Gm25884	1
ENSMUSG00000080668	13	60293672	60293772	miRNA	Gm24999	1
ENSMUSG00000088448	12	97371034	97371113	rRNA	Gm23558	-1
ENSMUSG00000064409	15	79692502	79692625	rRNA	n-R5s40	1
ENSMUSG00000064766	11	11427385	11427512	snoRNA	Gm26458	-1
ENSMUSG00000098351	1	74764798	74764890	misc_RNA	Gm27507	1
ENSMUSG00000094801	8	123560888	123561006	rRNA	n-R5s113	-1
ENSMUSG00000065422	X	19146294	19146388	miRNA	Mir221	-1
ENSMUSG00000095059	14	110597616	110597722	snRNA	Gm25670	-1
ENSMUSG00000088820	12	109689477	109689544	snoRNA	Gm25224	1
ENSMUSG00000087992	9	113776182	113776298	snoRNA	Gm25059	-1
ENSMUSG00000089078	5	75561046	75561150	snRNA	Gm24502	-1
ENSMUSG00000084742	19	6144732	6144851	rRNA	n-R5s19	1
ENSMUSG00000076253	12	35194811	35194897	miRNA	Mir680-3	-1
ENSMUSG00000094710	14	41247686	41247792	snRNA	Gm22823	1
ENSMUSG00000077392	4	5687677	5687802	snoRNA	Gm24337	-1
ENSMUSG00000098849	X	25679415	25679520	miRNA	Gm27892	-1
ENSMUSG00000088661	19	4904673	4904782	snRNA	Gm25334	1
ENSMUSG00000066620	7	30709736	30710263	processed_pseudogene	Gm4883	1
ENSMUSG00000065604	6	31063023	31063093	miRNA	Mir29b-1	-1
ENSMUSG00000080601	5	67053679	67053792	miRNA	Gm23841	-1
ENSMUSG00000088126	18	30476407	30476518	snoRNA	Gm22870	1
ENSMUSG00000084612	X	49879307	49879394	rRNA	n-R5s6	1
ENSMUSG00000094150	7	59726161	59726254	snoRNA	Gm23265	-1
ENSMUSG00000088710	8	127046912	127047082	snRNA	Gm22730	1
ENSMUSG00000092765	2	32318265	32318343	miRNA	Gm23363	1
ENSMUSG00000089187	14	49573214	49573318	miRNA	Gm22949	-1
ENSMUSG00000076337	11	16645438	16645538	miRNA	Gm24714	-1
ENSMUSG00000088002	12	77393104	77393202	snRNA	Gm24775	1
ENSMUSG00000087909	13	38898360	38898587	misc_RNA	Gm22035	-1
ENSMUSG00000064926	8	79014364	79014470	snRNA	Gm22044	-1
ENSMUSG00000105118	19	60774329	60774397	miRNA	Mir3084-2	-1
ENSMUSG00000088623	5	92302174	92302292	snRNA	Gm23031	1
ENSMUSG00000076387	5	24592114	24592211	miRNA	Mir671	1
ENSMUSG00000098414	10	79531029	79531090	miRNA	Mir6909	-1
ENSMUSG00000093900	2	10496497	10496583	miRNA	Mir669p-2	1
ENSMUSG00000077971	13	5997455	5997551	miRNA	Gm26259	-1
ENSMUSG00000076959	2	10468971	10469068	miRNA	Mir669l	1
ENSMUSG00000077518	2	181662306	181662412	snRNA	Gm25879	1
ENSMUSG00000088283	16	88614527	88614610	snRNA	Gm23587	-1
ENSMUSG00000065055	1	82635013	82635110	rRNA	n-R5s213	1
ENSMUSG00000065203	3	8429158	8429264	snRNA	Gm24614	1
ENSMUSG00000089037	1	109623008	109623137	snoRNA	Gm22159	-1
ENSMUSG00000077246	6	35975330	35975464	snoRNA	Gm23273	1
ENSMUSG00000094218	7	59766611	59766704	snoRNA	Gm23446	-1
ENSMUSG00000089066	9	82439414	82439474	snRNA	Gm22836	-1
ENSMUSG00000095272	5	151700202	151700308	snRNA	Gm24242	-1
ENSMUSG00000087777	6	33088646	33088749	snRNA	Gm22321	-1
ENSMUSG00000076450	11	50357785	50357879	miRNA	Mir804	-1
ENSMUSG00000089083	6	124741225	124741286	snRNA	Rnu7	-1
ENSMUSG00000077224	14	106766030	106766156	snoRNA	Gm23437	1
ENSMUSG00000077481	14	123933718	123933845	snoRNA	Gm25272	1
ENSMUSG00000096142	7	32917146	32917266	miRNA	Gm25817	1
ENSMUSG00000093937	9	87888456	87888587	snoRNA	Gm25528	-1
ENSMUSG00000064762	4	68182532	68182702	snRNA	Gm23738	1
ENSMUSG00000087908	1	102953415	102953548	snoRNA	Gm22034	-1
ENSMUSG00000094041	8	72541480	72541580	miRNA	Gm28019	-1
ENSMUSG00000095422	15	90054409	90054515	snRNA	Gm24415	-1
ENSMUSG00000096804	18	34188878	34188939	snRNA	Gm23411	-1
ENSMUSG00000065635	11	56263165	56263240	snoRNA	Gm24253	-1
ENSMUSG00000092644	11	84893087	84893153	miRNA	Gm23564	1
ENSMUSG00000080545	3	123391114	123391243	snRNA	Gm22713	-1
ENSMUSG00000092671	8	111041948	111042024	miRNA	Gm24103	-1
ENSMUSG00000064916	4	155720040	155720141	snRNA	Gm22573	-1
ENSMUSG00000088472	6	123808105	123808221	snoRNA	Gm23079	-1
ENSMUSG00000077537	8	76021929	76022055	snoRNA	Gm22544	-1
ENSMUSG00000088146	X	96150837	96150972	scaRNA	Gm24718	-1
ENSMUSG00000099247	10	78525989	78526110	miRNA	Gm27541	1
ENSMUSG00000070209	17	44641025	44641143	rRNA	n-R5s27	-1
ENSMUSG00000070072	12	109591715	109591838	miRNA	Mir433	1
ENSMUSG00000098788	13	32758202	32758310	snRNA	Gm27342	1
ENSMUSG00000065716	X	169695781	169695899	snoRNA	Gm25651	-1
ENSMUSG00000094086	9	4371269	4371335	miRNA	Gm23992	-1
ENSMUSG00000088988	9	64048496	64048590	rRNA	Gm25606	1
ENSMUSG00000064889	9	94284496	94284652	snRNA	Gm24200	1
ENSMUSG00000076143	7	96249424	96249532	miRNA	Mir708	1
ENSMUSG00000065733	X	106649913	106650019	snRNA	Gm24491	-1
ENSMUSG00000076033	13	74407065	74407173	miRNA	Mir692-3	1
ENSMUSG00000064621	12	109654627	109654698	snoRNA	Gm26922	1
ENSMUSG00000095198	2	10483678	10483760	miRNA	Mir467a-3	1
ENSMUSG00000096835	2	10490167	10490287	miRNA	Gm23288	1
ENSMUSG00000088069	4	46118180	46118446	misc_RNA	Gm23250	1
ENSMUSG00000099003	5	136105522	136105603	miRNA	Mir7035	1
ENSMUSG00000096241	1	107756602	107756708	snRNA	Gm24267	-1
ENSMUSG00000104914	7	130908268	130908335	miRNA	Mir7061	1
ENSMUSG00000095023	10	79909195	79909301	snRNA	Gm24019	1
ENSMUSG00000089190	1	122553173	122553316	snoRNA	Gm25771	1
ENSMUSG00000070080	12	109590447	109590537	miRNA	Mir431	1
ENSMUSG00000084653	3	104601158	104601239	snRNA	Gm26091	-1
ENSMUSG00000106147	10	40258467	40258679	snoRNA	Rnu3a	1
ENSMUSG00000076127	X	74023849	74023936	miRNA	Mir718	-1
ENSMUSG00000098757	12	89298442	89298583	miRNA	Gm27313	-1
ENSMUSG00000088394	X	56725073	56725237	snRNA	Gm26312	1
ENSMUSG00000065111	15	102627779	102627885	snRNA	Gm25141	-1
ENSMUSG00000088242	12	31858458	31858592	scaRNA	Gm25913	1
ENSMUSG00000087800	2	165270046	165270176	snoRNA	Gm25569	-1
ENSMUSG00000096298	19	13604999	13605107	miRNA	Gm23931	-1
ENSMUSG00000089485	11	89136505	89136766	misc_RNA	Gm24734	-1
ENSMUSG00000076382	8	111194964	111195045	miRNA	Gm23193	1
ENSMUSG00000065431	3	157544279	157544349	miRNA	Mir186	1
ENSMUSG00000095691	7	59902213	59902306	snoRNA	Snord116l11	-1
ENSMUSG00000077761	2	168882040	168882168	snoRNA	Gm25214	-1
ENSMUSG00000080683	7	44250450	44250542	snoRNA	Gm23991	1
ENSMUSG00000077400	9	92527578	92527708	snoRNA	Gm25417	-1
ENSMUSG00000065583	11	35616816	35616925	miRNA	Mir218-2	1
ENSMUSG00000084642	18	63909082	63909156	snRNA	Gm24384	-1
ENSMUSG00000080419	X	128522689	128522809	miRNA	Gm26475	-1
ENSMUSG00000088200	2	126634539	126634687	snRNA	Gm23753	-1
ENSMUSG00000084604	12	109688055	109688125	snoRNA	Gm22205	1
ENSMUSG00000089139	7	29773294	29773376	miRNA	Mir1964	1
ENSMUSG00000077277	X	19355001	19355107	snRNA	Gm22783	1
ENSMUSG00000094363	2	10486946	10487068	miRNA	Gm26060	1
ENSMUSG00000098710	8	70895508	70895570	miRNA	Mir7067	-1
ENSMUSG00000065477	12	109710175	109710256	miRNA	Mir411	1
ENSMUSG00000088519	11	3474285	3474401	snoRNA	Gm24439	-1
ENSMUSG00000087759	3	100738452	100738713	misc_RNA	Gm23465	-1
ENSMUSG00000104856	11	87448627	87448841	snoRNA	Rnu3b3	1
ENSMUSG00000098378	8	74270247	74270436	miRNA	Gm27864	1
ENSMUSG00000089441	12	25687801	25687906	rRNA	Gm22527	1
ENSMUSG00000064451	7	110046364	110046547	snoRNA	Snora23	1
ENSMUSG00000077188	2	159139361	159139492	snoRNA	Gm25090	1
ENSMUSG00000088022	17	28446861	28447148	misc_RNA	Gm49799	1
ENSMUSG00000094438	7	59568964	59569042	snoRNA	Gm23618	-1
ENSMUSG00000096868	7	59799444	59799537	snoRNA	Gm22258	-1
ENSMUSG00000096113	2	10488887	10488974	miRNA	Mir466b-5	1
ENSMUSG00000065074	X	21901732	21901838	snRNA	Gm24535	-1
ENSMUSG00000089147	8	82152720	82152782	snRNA	Gm25267	-1
ENSMUSG00000076190	7	42958351	42958460	miRNA	Gm23256	1
ENSMUSG00000088954	4	51799920	51800352	ribozyme	Gm24943	1
ENSMUSG00000088416	8	120717500	120717754	misc_RNA	Gm24239	-1
ENSMUSG00000084487	12	109684962	109685034	snoRNA	Gm23787	1
ENSMUSG00000094515	4	15819909	15820029	miRNA	Gm24567	1
ENSMUSG00000093572	11	59337051	59337146	miRNA	Gm24756	-1
ENSMUSG00000084739	15	81592093	81592199	snRNA	Gm22067	1
ENSMUSG00000064853	17	35162563	35162696	snoRNA	Gm23442	-1
ENSMUSG00000098991	11	107851745	107851856	rRNA	Gm27595	1
ENSMUSG00000093093	3	89302478	89302729	misc_RNA	Gm22642	1
ENSMUSG00000065608	15	85706603	85706697	miRNA	Mirlet7c-2	1
ENSMUSG00000098357	12	114513635	114513694	miRNA	Mir7094-2	-1
ENSMUSG00000104858	12	109595327	109595388	miRNA	Mir136	1
ENSMUSG00000089234	8	12356153	12356469	misc_RNA	Gm22207	1
ENSMUSG00000077207	1	137215544	137215647	snRNA	Gm25609	-1
ENSMUSG00000088895	15	71794188	71794365	snoRNA	Gm22519	1
ENSMUSG00000070103	1	158505625	158505733	miRNA	Mir488	1
ENSMUSG00000088903	6	139196065	139196231	scaRNA	Gm25434	-1
ENSMUSG00000089008	18	90228899	90228962	snRNA	Gm23859	1
ENSMUSG00000106439	3	136798262	136798378	miRNA	Gm44327	-1
ENSMUSG00000095986	6	35524543	35524638	miRNA	Gm23053	-1
ENSMUSG00000099165	12	112733322	112733391	miRNA	Mir6940	1
ENSMUSG00000088517	16	36321481	36321584	snRNA	Gm24437	1
ENSMUSG00000065514	5	138165737	138165818	miRNA	Mir106b	-1
ENSMUSG00000098827	11	98238618	98238695	miRNA	Gm27399	1
ENSMUSG00000089608	10	44732353	44732467	snRNA	Gm22503	1
ENSMUSG00000095233	18	32820693	32820799	snRNA	Gm26378	1
ENSMUSG00000105109	13	23534114	23534254	miRNA	Gm44297	-1
ENSMUSG00000104783	11	24014655	24014759	miRNA	Gm44381	1
ENSMUSG00000098253	18	68260920	68260973	miRNA	Mir7219	-1
ENSMUSG00000084469	5	138219737	138219816	snRNA	Gm22956	1
ENSMUSG00000092935	18	42301890	42301952	miRNA	Gm22697	1
ENSMUSG00000098928	19	6051334	6051392	miRNA	Mir6988	1
ENSMUSG00000096523	Y	83675342	83675449	rRNA	Gm25729	-1
ENSMUSG00000087718	10	110904795	110904900	snRNA	Gm22236	-1
ENSMUSG00000092956	6	29396617	29396705	miRNA	Gm26220	1
ENSMUSG00000077565	2	167064998	167065086	snoRNA	Gm23201	1
ENSMUSG00000089580	13	24316730	24316852	snoRNA	Gm23340	-1
ENSMUSG00000064769	16	35387933	35388085	snRNA	Gm23518	-1
ENSMUSG00000089206	1	105945554	105945660	snRNA	Gm26214	1
ENSMUSG00000093223	15	79594668	79594793	miRNA	Gm27903	-1
ENSMUSG00000077416	15	75759859	75759989	snoRNA	Gm23747	1
ENSMUSG00000087870	8	128771170	128771296	snoRNA	Gm26100	1
ENSMUSG00000077780	4	126818016	126818145	snoRNA	Gm24161	-1
ENSMUSG00000094621	GL456372.1	13262	13382	miRNA	CAAA01098150.1	-1
ENSMUSG00000089091	6	103832513	103832578	snRNA	Gm25656	-1
ENSMUSG00000092748	12	113425150	113425227	miRNA	Gm22175	-1
ENSMUSG00000089026	8	13283115	13283217	snRNA	Gm25014	-1
ENSMUSG00000089538	6	46481709	46481840	snoRNA	Gm25161	-1
ENSMUSG00000092747	4	136609806	136609864	miRNA	Gm22180	-1
ENSMUSG00000077704	1	39548745	39548854	snoRNA	Snord89	-1
ENSMUSG00000077261	13	106990402	106990467	snoRNA	Gm24431	-1
ENSMUSG00000064508	8	47719246	47719369	rRNA	n-R5s96	1
ENSMUSG00000094952	12	109588592	109588680	miRNA	Mir3070b	1
ENSMUSG00000077382	2	84700748	84700860	rRNA	n-R5s200	-1
ENSMUSG00000077938	8	96656129	96656219	miRNA	Gm24132	1
ENSMUSG00000065803	7	98506954	98507116	snRNA	Gm23040	1
ENSMUSG00000088180	14	56852830	56852888	snRNA	Gm22218	-1
ENSMUSG00000088752	11	69663043	69663125	miRNA	Mir1934	1
ENSMUSG00000065132	3	123743297	123743403	snRNA	Gm24456	-1
ENSMUSG00000094581	7	59693220	59693313	snoRNA	Gm26365	-1
ENSMUSG00000084652	9	90315910	90316080	snRNA	Gm22717	1
ENSMUSG00000094750	6	133196640	133196749	miRNA	Gm25019	1
ENSMUSG00000089163	GL456233.1	79697	79797	snRNA	CAAA01019125.1	-1
ENSMUSG00000098696	14	35569953	35570120	misc_RNA	Gm27617	1
ENSMUSG00000075893	12	12700039	12700145	snRNA	Gm25538	1
ENSMUSG00000087804	1	99017364	99017463	snRNA	Gm23434	1
ENSMUSG00000094408	6	130320874	130320947	snRNA	Gm24072	1
ENSMUSG00000087862	9	19437687	19437815	snoRNA	Gm23048	1
ENSMUSG00000096245	9	110925403	110925479	miRNA	Gm24269	1
ENSMUSG00000080518	8	110842383	110842458	snoRNA	Gm22193	-1
ENSMUSG00000099108	X	68676848	68676903	misc_RNA	Gm27979	1
ENSMUSG00000098791	6	17907172	17907291	misc_RNA	Gm27402	1
ENSMUSG00000077609	X	157299490	157299621	snoRNA	Gm25795	-1
ENSMUSG00000084576	16	89451495	89451599	snRNA	Gm23655	-1
ENSMUSG00000088984	4	126860980	126861112	snoRNA	Gm25604	-1
ENSMUSG00000088719	11	74936061	74936151	snRNA	Gm22733	-1
ENSMUSG00000065564	15	85707319	85707403	miRNA	Mirlet7b	1
ENSMUSG00000088711	2	145352843	145352936	rRNA	Gm22731	1
ENSMUSG00000064763	8	65667595	65667701	snRNA	Gm23515	-1
ENSMUSG00000088976	9	90031307	90031574	misc_RNA	Gm23759	1
ENSMUSG00000098887	10	20297581	20297688	miRNA	Mir6413	-1
ENSMUSG00000065567	1	23291701	23291784	miRNA	Mir30c-2	1
ENSMUSG00000089543	4	79244587	79244709	snoRNA	Gm25836	-1
ENSMUSG00000099129	8	111689601	111689674	miRNA	Mir7076	-1
ENSMUSG00000076009	15	102671792	102671866	miRNA	Mir688	-1
ENSMUSG00000064949	4	132310240	132310369	snoRNA	Snora61	1
ENSMUSG00000088384	18	38356578	38356674	rRNA	Gm24690	1
ENSMUSG00000095529	16	19319686	19319795	miRNA	Gm23612	1
ENSMUSG00000088832	6	65864171	65864276	snRNA	Gm23543	-1
ENSMUSG00000094842	4	44865307	44865431	miRNA	Gm22639	1
ENSMUSG00000088751	5	57110824	57110946	snoRNA	Gm24902	1
ENSMUSG00000098280	8	120538696	120538754	miRNA	Mir7687	1
ENSMUSG00000084513	5	148753323	148753440	rRNA	n-R5s179	-1
ENSMUSG00000106556	13	69401248	69401397	miRNA	Gm44375	-1
ENSMUSG00000099053	13	96897276	96897390	rRNA	Gm27792	1
ENSMUSG00000077230	X	145160477	145160621	snRNA	Gm25097	1
ENSMUSG00000106436	4	120973259	120973322	miRNA	Mir7015	-1
ENSMUSG00000094476	7	59351409	59351487	snoRNA	Gm25934	-1
ENSMUSG00000104657	11	120274487	120274624	miRNA	Gm47297	1
ENSMUSG00000096731	14	50731053	50731159	snRNA	Gm24316	1
ENSMUSG00000094214	1	63300280	63300383	snRNA	Gm23448	-1
ENSMUSG00000093024	X	23982185	23982286	miRNA	Gm25299	1
ENSMUSG00000094097	8	123557490	123557608	rRNA	n-R5s111	-1
ENSMUSG00000065004	12	43743037	43743165	snoRNA	Gm26326	1
ENSMUSG00000095112	5	72418713	72418819	snRNA	Gm23712	-1
ENSMUSG00000093281	8	5705427	5705495	miRNA	Gm22565	1
ENSMUSG00000077668	7	142424795	142424902	snRNA	Gm26143	1
ENSMUSG00000080478	7	15938762	15938870	snoRNA	Snord23	-1
ENSMUSG00000093912	16	44013852	44013977	miRNA	Mir3470b	1
ENSMUSG00000106152	6	56172928	56173031	miRNA	Gm44413	-1
ENSMUSG00000098813	11	97780182	97780276	snoRNA	Gm27326	-1
ENSMUSG00000064526	11	86437310	86437415	snRNA	Gm26439	-1
ENSMUSG00000098300	16	42303362	42303469	miRNA	Mir6540	-1
ENSMUSG00000096838	3	96450446	96450611	snRNA	Gm26232	1
ENSMUSG00000088646	5	53418573	53418682	rRNA	Gm26486	1
ENSMUSG00000098669	4	89445219	89445367	misc_RNA	Gm27580	1
ENSMUSG00000064915	3	124410655	124410764	snRNA	Gm22575	1
ENSMUSG00000098655	3	88440879	88440951	miRNA	Mir7011	-1
ENSMUSG00000077394	9	15326464	15326539	snoRNA	Gm24339	-1
ENSMUSG00000065750	6	70855444	70855579	snoRNA	Gm23346	1
ENSMUSG00000098667	8	7521636	7521834	misc_RNA	Gm27585	1
ENSMUSG00000089599	11	68053335	68053460	rRNA	Gm26157	1
ENSMUSG00000093184	11	38037179	38037263	miRNA	Gm25693	-1
ENSMUSG00000095705	Y	85414018	85414125	rRNA	Gm24828	-1
ENSMUSG00000098261	4	96917020	96917083	snRNA	Gm27521	1
ENSMUSG00000064394	14	75651423	75651529	snRNA	Gm23622	-1
ENSMUSG00000096339	15	18009263	18009369	snRNA	Gm24713	-1
ENSMUSG00000095713	7	59407197	59407275	snoRNA	Gm26466	-1
ENSMUSG00000096462	7	59806995	59807088	snoRNA	Gm22812	-1
ENSMUSG00000099006	17	35204475	35204557	miRNA	Mir6974	-1
ENSMUSG00000077515	2	167063473	167063565	snoRNA	Gm25878	1
ENSMUSG00000095479	7	59776724	59776817	snoRNA	Gm25074	-1
ENSMUSG00000094551	15	44432595	44432701	snRNA	Gm22392	1
ENSMUSG00000064468	2	38480338	38480445	snRNA	Gm25081	1
ENSMUSG00000096504	X	66835764	66835842	miRNA	Mir465b-2	-1
ENSMUSG00000076961	7	75757259	75757368	miRNA	Gm23251	-1
ENSMUSG00000099248	6	52249299	52249475	misc_RNA	Gm27543	1
ENSMUSG00000077685	14	56837071	56837156	snoRNA	Gm22498	-1
ENSMUSG00000065130	3	142772972	142773076	snRNA	Gm24457	-1
ENSMUSG00000088363	1	118681821	118681950	snRNA	Gm23497	1
ENSMUSG00000088861	11	11140514	11140643	rRNA	Gm23065	1
ENSMUSG00000065122	9	84649496	84649659	snRNA	Gm26126	1
ENSMUSG00000093499	3	35325614	35325705	miRNA	Gm25442	1
ENSMUSG00000088955	9	107987369	107987496	snoRNA	Gm24944	1
ENSMUSG00000089555	11	21344588	21344675	miRNA	Mir1933	-1
ENSMUSG00000077318	1	11134111	11134238	snoRNA	Gm24173	-1
ENSMUSG00000094013	1	54249102	54249208	snRNA	Gm25829	-1
ENSMUSG00000064960	3	144586825	144586952	snoRNA	Gm24406	-1
ENSMUSG00000098502	11	60099547	60099673	misc_RNA	Gm27511	1
ENSMUSG00000089039	3	64109635	64109737	snRNA	Gm22165	1
ENSMUSG00000094815	13	62543434	62543503	snoRNA	Gm22615	-1
ENSMUSG00000088848	1	43902928	43903052	snoRNA	Gm26352	1
ENSMUSG00000064565	16	11167105	11167267	snRNA	Gm24145	-1
ENSMUSG00000084477	6	140530963	140531215	misc_RNA	Gm25780	1
ENSMUSG00000080465	6	71882557	71882693	snoRNA	Gm22486	-1
ENSMUSG00000094330	2	10506555	10506681	miRNA	Gm22051	1
ENSMUSG00000098510	17	26935472	26935539	miRNA	Mir6968	1
ENSMUSG00000088571	2	24601365	24601689	misc_RNA	Gm25455	1
ENSMUSG00000088333	1	3783876	3783933	snRNA	Gm27396	-1
ENSMUSG00000089613	1	87415255	87415349	snRNA	Gm23504	-1
ENSMUSG00000065768	4	129895573	129895724	snRNA	Gm23845	1
ENSMUSG00000088581	17	69594539	69594777	misc_RNA	Gm22967	-1
ENSMUSG00000084549	12	109649617	109649688	snoRNA	DQ267100	1
ENSMUSG00000064970	1	181813607	181813700	snRNA	Gm23690	-1
ENSMUSG00000088443	6	124142185	124142294	snoRNA	Gm23554	1
ENSMUSG00000087708	X	66728415	66728553	snRNA	Gm23000	1
ENSMUSG00000087935	16	23110756	23110933	snoRNA	Snora81	1
ENSMUSG00000093274	18	18099560	18099660	miRNA	Gm26235	1
ENSMUSG00000088829	1	15685935	15686046	snoRNA	Gm25227	-1
ENSMUSG00000095555	9	72511209	72511334	miRNA	Gm28010	-1
ENSMUSG00000077209	5	64002353	64002484	snoRNA	Gm25608	-1
ENSMUSG00000065464	16	18327401	18327465	miRNA	Mir185	-1
ENSMUSG00000084472	18	24686168	24686282	rRNA	n-R5s23	-1
ENSMUSG00000094048	7	59589548	59589626	snoRNA	Gm26284	-1
ENSMUSG00000077408	14	89706805	89706936	snoRNA	Gm25415	1
ENSMUSG00000094031	15	23154734	23154865	snoRNA	Gm24656	1
ENSMUSG00000094173	7	61739350	61739409	miRNA	Mir344h-1	-1
ENSMUSG00000065399	18	10782909	10782976	miRNA	Mir133a-1	-1
ENSMUSG00000088889	11	74728403	74728509	snRNA	Gm24211	1
ENSMUSG00000099154	2	3075107	3075213	miRNA	Gm27306	1
ENSMUSG00000080358	9	44897865	44897982	snRNA	Gm26249	1
ENSMUSG00000088446	X	78908549	78908640	miRNA	Gm23556	-1
ENSMUSG00000088019	12	66561254	66561372	snoRNA	Gm23826	-1
ENSMUSG00000084674	3	121337692	121337959	misc_RNA	Gm26027	1
ENSMUSG00000076454	7	127708487	127708562	miRNA	Mir762	1
ENSMUSG00000105458	8	84208825	84208907	miRNA	Mir3074-2	-1
ENSMUSG00000092675	4	43631425	43631557	miRNA	Gm25262	1
ENSMUSG00000094837	7	59761554	59761647	snoRNA	Gm25471	-1
ENSMUSG00000088056	9	35144636	35144779	snoRNA	Gm24262	1
ENSMUSG00000095513	3	96422733	96422897	snRNA	Gm24136	1
ENSMUSG00000088073	4	21270075	21270430	ribozyme	Gm22817	1
